342	758
345	757
345	758
341	761
341	760
343	761
344	756
343	748
347	741
337	731
332	719
336	707
329	699
321	682
321	663
309	643
304	633
308	619
290	592
282	569
277	544
268	516
264	489
258	462
256	430
246	396
237	361
233	335
232	304
226	268
219	246
205	219
188	197
183	174
177	140
170	113
154	94
144	74
132	39
118	21
103	4
86	-21
76	-39
55	-65
36	-91
32	-110
27	-125
8	-145
-7	-166
-21	-182
-27	-194
-38	-202
-57	-222
-69	-232
-78	-239
-94	-258
-109	-267
-114	-269
-130	-276
-139	-284
-141	-295
-158	-303
-166	-304
-167	-314
-178	-333
-193	-347
-197	-361
-199	-369
-201	-375
-212	-395
-223	-403
-223	-409
-232	-424
-238	-433
-244	-445
-249	-450
-250	-462
-254	-474
-251	-478
-258	-494
-258	-505
-257	-513
-264	-523
-259	-528
-255	-527
-258	-532
-263	-548
-259	-553
-266	-554
-275	-562
-265	-564
-274	-564
-277	-569
-274	-570
-275	-568
-276	-568
-280	-570
-279	-580
-277	-583
-272	-586
-276	-586
-271	-576
-276	-571
-279	-558
-264	-538
-260	-525
-246	-511
-241	-501
-236	-491
-219	-471
-216	-454
-201	-435
-190	-414
-184	-396
-174	-374
-172	-361
-159	-338
-148	-305
-132	-288
-116	-273
-103	-244
-96	-223
-83	-198
-61	-172
-55	-150
-40	-125
-26	-98
-12	-72
-2	-47
21	-24
44	-6
49	17
66	41
80	65
88	80
102	96
115	120
125	132
140	142
151	165
159	181
171	196
180	208
184	215
202	226
220	228
219	234
222	236
231	244
231	256
235	272
235	297
227	321
233	342
232	360
231	381
239	404
232	414
239	420
250	434
250	447
245	457
252	474
257	495
257	504
258	526
259	543
265	562
262	595
262	611
262	632
267	650
263	659
263	671
268	687
272	697
282	710
273	727
272	729
279	740
281	754
285	764
288	779
291	786
298	798
299	811
294	824
297	842
296	851
302	857
306	866
303	876
309	881
306	881
303	887
311	894
314	899
313	894
311	890
317	884
318	871
326	863
320	854
313	843
320	835
308	819
303	813
297	798
303	784
302	775
284	745
283	731
281	714
275	683
273	668
268	643
264	615
263	594
261	562
253	529
255	502
254	475
241	449
237	424
228	406
222	375
207	350
204	324
201	287
178	265
169	237
158	207
153	183
144	157
134	129
131	108
112	80
95	45
90	19
88	-0
85	-27
76	-52
62	-61
